Metadata,Value
cod_color,"82, 01, 70, 37, 43, 56, 02, 76, 52, 36, 08, 05, 95, 99, 88, 06, 91, 41, TC, 40, 50, 20, 94, 45, 12, 92, 15, 68, 26, 69, 65, BB, TN, TM, TG, 35, 85, 78, 79, 07, 81, TO, 80, 87, 10, 96, 16, 59, 60, 09, CO, 30, 83, 32, 90, 46, 49, 54, 03, OR, 14, 93, 84, PL, 77, CU, 17, 23, 28, 18, 74, GM, 44, 27, 97, 11, 57, 55, BL, 39, 31, 61, CG, 48, 25, 51, DC, TA, TU, 21, GC, 53, 72, 38, 47, DO, 04, 58, 75, 42, TS, 33, 34, 19, DI, 98, 24, 73, 62, 66, 67, 71, TL, 89, 13, 63, 64, 86, TD, 22, 29"
des_sex,"Female, Male, Unisex"
des_age,"Kids, Teen, Adult, Baby, Newborn"
des_line,"KIDS, MAN, WOMAN"
des_fabric,"TRICOT, WOVEN, CIRCULAR, JEANS, LEATHER, ACCESSORIES, SYNTHETIC LEATHER"
des_product_category,"Tops, Dresses, jumpsuits and Complete set, Bottoms, Outerwear, Accesories, Swim and Intimate"
des_product_aggregated_family,"Sweaters and Cardigans, Dresses and jumpsuits, T-shirts, Jeans, Trousers & leggings, Shirts, Jackets and Blazers, Coats and Parkas, Tops, Accessories, Skirts and shorts"
des_product_family,"Sweater, Dresses, T-shirt, Jeans, Sweatshirts, Leggings and joggers, Shirt, Trousers, Blazers, Coats, Jackets, Poloshirts, Jumpsuit, Cardigans, Parkas, Tops, Footwear, Skirts, Shorts, Puffer coats, Outer Vest, Vest, Hats, scarves and gloves, Bodysuits, Leather jackets, Trenchcoats"
des_product_type,"Sweater, Dress, T-Shirt, Jeans, Sweatshirt, Joggers, Blouse, Trousers, Blazer, Shirt, Coat, Jacket, Poloshirt, Leggings, Jumpsuit, Cardigan, Parka, Top, Ankle Boots, Skirt, Shoes, Sandals, Trainers, Bermudas, Puffer coat, Outer vest, Shorts, Overall, Pichi, Vest, Headband, Slippers, Bodysuit, Leather Jacket, Boots, Romper, Overshirt, Trenchcoat, Beach Shoes, Clogs, Sweater Vest, Cardigan Vest, Cape, Poncho, Kaftan, Bolero, Jacket (Cazadora)"
des_color,"ROSA LIGHT, BLANCO, ROJO, KHAKI, VERDE, NAVY, OFFWHITE, GRANATE, AZUL, OLIVA, BEIGE, CRUDO, ANTRACITA, NEGRO, FUCSIA, PIEDRA, GRIS CLARO VIGORE, MENTA, TEJANO CLARO, VERDE PASTEL, CELESTE, NARANJA, GRIS MEDIO VIGORE, AGUA, AMARILLO, GRIS, MOSTAZA, MALVA, PEACH, MARINO, MORADO, BLUEBLACK, TEJANO NEGRO, TEJANO MEDIO, TEJANO GRIS, TOPO, ROSA, BURDEOS, CALDERO, ARENA, ROSA PASTEL, TEJANO OSCURO, NUDE, CORAL, VAINILLA, GRIS OSCURO VIGORE, OCRE, PETROLEO, LAVANDA, CAMEL, COBRE, MARRON, ROSA PALO, CHOCOLATE, PERLA, TURQUESA, BOTELLA, INDIGO, HIELO, ORO, LIMA, CENIZA, CHICLE, PLATA, VINO, CUERO, CARAMELO, MANDARINA, TERRACOTA, CANELA, FRESA, GUNMETAL, ESMERALDA, PIMENTON, ASFALTO, AMARILLO PASTEL, AZUL NOCHE, TINTA, BLEACH, DARK CAZA, TABACO, LILA, COGNAC, MUSGO, SALMON, PORCELANA, DIRTY CLARO, TAUPE, TEJANO GRIS OSCURO, NARANJA PASTEL, GREEN CAST, ELECTRICO, BERMELLON, CAZA, BILLAR, DIRTY OSCURO, MARFIL, PRUSIA, CEREZA, MANZANA, TEJANO SOFT, COFFEE, MISTERIO, CURRY, DIRTY, VISON, POMELO, BLOOD, VIOLETA, CIRUELA, GROSELLA, ROJO VALENTINO, TEJANO GRIS CLARO, GERANIO, AMARILLO FLUOR, PURPURA, MORA, ROSA FLUOR, TESTA DI MORO, NARANJA FLUOR, ALBARICOQUE"
